,id,document_id,worker,sentence,subject_entity,object_entity,label
0,2045,person1.csv_300,['user:ymnseol'],"손담비(孫淡妃, 1983년 9월 25일~ )는 대한민국의 가수, 배우다.","{'word': '손담비', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}","{'word': '배우', 'start_idx': 36, 'end_idx': 37, 'type': 'POH'}",per:title
1,836,person1.csv_332,['user:ymnseol'],"또한 유희열은 개별적으로 작곡가 활동을 하기도 했는데, 그가 작곡가로서 제법 알려지게 된 계기는 앨범 프로듀서를 맡은 96년 4월에 발매된 윤종신 5집 앨범 《우》가 70만장 이상 판매된 후부터이다. 앨범 프로듀서의 역할은 작곡과 편곡, 디렉팅, 연주, 세션맨 관리, 연주자 선택 등 앨범에 관한한 모든 것을 책임지는 것이다.","{'word': '유희열', 'start_idx': 3, 'end_idx': 5, 'type': 'PER'}","{'word': '윤종신', 'start_idx': 78, 'end_idx': 80, 'type': 'PER'}",no_relation
2,2178,person1.csv_282,['user:ymnseol'],"〈미아〉의 작곡가였던 이종훈과 다시 한 번 작업한 곡이다.〈삐삐〉의 작사는 아이유로, 관계에 있어 무례하게 선을 넘는 사람들에게 던지는 유쾌하고 간결한 경고의 메시지를 담고 있다. 〈삐삐〉는 국내 최대 음원 사이트 멜론 기준 진입 1위 이용자 수 11만과 더불어 24시간 누적 이용자수 146만 6646명을 기록하며 멜론 차트 개혁 전후 모두 포함해서 1위로, 이는 기존 24시간 누적 이용자수 1위였던 〈레옹〉의 140만을 넘어선 기록이다.","{'word': '이종훈', 'start_idx': 12, 'end_idx': 14, 'type': 'PER'}","{'word': '작곡가', 'start_idx': 6, 'end_idx': 8, 'type': 'POH'}",per:title
3,2345,person1.csv_215,['user:ymnseol'],"나중에 박정희정권에 호의적으로 변하였는데, 송건호는 그가 박정희에게 붙었다고 비판하였다.","{'word': '박정희정권', 'start_idx': 4, 'end_idx': 8, 'type': 'ORG'}","{'word': '송건호', 'start_idx': 24, 'end_idx': 26, 'type': 'PER'}",no_relation
4,1742,person1.csv_334,['user:ymnseol'],이와 더불어 유희열은 토이 활동과 별개로 가수 이승환의 무적밴드 건반 세션으로도 활동하였다.,"{'word': '유희열', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}","{'word': '이승환', 'start_idx': 26, 'end_idx': 28, 'type': 'PER'}",per:colleagues
5,499,person1.csv_82,['user:ymnseol'],"차근차근 실제 무대 경험을 쌓아 올린 심신은 1986년 대학에 진학하면서 6인조 하드 록 밴드인 '외인부대'의 보컬로도 활동하게 된다. 멤버들과 대전, 논산, 청주 등의 클럽 무대에서 음악적 역량을 키우고 이름을 알리지만, 집안에서는 음악에 대한 반대가 심해 잦은 갈등을 겪었다. 가출하고 아버지에게 붙잡혀 돌아오기를 반복하면서도 심신은 음악에 대한 열정을 놓지 않았다.","{'word': '외인부대', 'start_idx': 55, 'end_idx': 58, 'type': 'ORG'}","{'word': '심신', 'start_idx': 21, 'end_idx': 22, 'type': 'PER'}",org:employee
6,498,person1.csv_82,['user:ymnseol'],"차근차근 실제 무대 경험을 쌓아 올린 심신은 1986년 대학에 진학하면서 6인조 하드 록 밴드인 '외인부대'의 보컬로도 활동하게 된다. 멤버들과 대전, 논산, 청주 등의 클럽 무대에서 음악적 역량을 키우고 이름을 알리지만, 집안에서는 음악에 대한 반대가 심해 잦은 갈등을 겪었다. 가출하고 아버지에게 붙잡혀 돌아오기를 반복하면서도 심신은 음악에 대한 열정을 놓지 않았다.","{'word': '심신', 'start_idx': 21, 'end_idx': 22, 'type': 'PER'}","{'word': '보컬', 'start_idx': 62, 'end_idx': 63, 'type': 'POH'}",per:title
7,497,person1.csv_82,['user:ymnseol'],"차근차근 실제 무대 경험을 쌓아 올린 심신은 1986년 대학에 진학하면서 6인조 하드 록 밴드인 '외인부대'의 보컬로도 활동하게 된다. 멤버들과 대전, 논산, 청주 등의 클럽 무대에서 음악적 역량을 키우고 이름을 알리지만, 집안에서는 음악에 대한 반대가 심해 잦은 갈등을 겪었다. 가출하고 아버지에게 붙잡혀 돌아오기를 반복하면서도 심신은 음악에 대한 열정을 놓지 않았다.","{'word': '심신', 'start_idx': 21, 'end_idx': 22, 'type': 'PER'}","{'word': '외인부대', 'start_idx': 55, 'end_idx': 58, 'type': 'ORG'}",per:member_of
8,1743,person1.csv_334,['user:ymnseol'],이와 더불어 유희열은 토이 활동과 별개로 가수 이승환의 무적밴드 건반 세션으로도 활동하였다.,"{'word': '유희열', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}","{'word': '토이', 'start_idx': 12, 'end_idx': 13, 'type': 'ORG'}",per:member_of
9,1744,person1.csv_334,['user:ymnseol'],이와 더불어 유희열은 토이 활동과 별개로 가수 이승환의 무적밴드 건반 세션으로도 활동하였다.,"{'word': '유희열', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}","{'word': '무적밴드', 'start_idx': 31, 'end_idx': 34, 'type': 'ORG'}",per:member_of
10,1745,person1.csv_334,['user:ymnseol'],이와 더불어 유희열은 토이 활동과 별개로 가수 이승환의 무적밴드 건반 세션으로도 활동하였다.,"{'word': '토이', 'start_idx': 12, 'end_idx': 13, 'type': 'ORG'}","{'word': '유희열', 'start_idx': 7, 'end_idx': 9, 'type': 'PER'}",org:employee
11,850,person1.csv_171,['user:ymnseol'],2007년에는 《쩐의 전쟁: 보너스라운드》에 나왔고 2008년에는 이정재와 함께 《1724 기방 난동 사건》이라는 영화를 찍기도 했다.,"{'word': '이정재', 'start_idx': 37, 'end_idx': 39, 'type': 'PER'}","{'word': '1724 기방 난동 사건', 'start_idx': 46, 'end_idx': 58, 'type': 'PRO'}",per:participate_in
12,851,person1.csv_171,['user:ymnseol'],2007년에는 《쩐의 전쟁: 보너스라운드》에 나왔고 2008년에는 이정재와 함께 《1724 기방 난동 사건》이라는 영화를 찍기도 했다.,"{'word': '이정재', 'start_idx': 37, 'end_idx': 39, 'type': 'PER'}","{'word': '쩐의 전쟁: 보너스라운드', 'start_idx': 9, 'end_idx': 21, 'type': 'PRO'}",no_relation
13,1452,person1.csv_79,['user:ymnseol'],"심신(沈信, 1967년 7월 29일 ~ )은 대한민국의 가수이다.","{'word': '심신', 'start_idx': 0, 'end_idx': 1, 'type': 'PER'}","{'word': '가수', 'start_idx': 31, 'end_idx': 32, 'type': 'POH'}",per:title
14,1451,person1.csv_79,['user:ymnseol'],"심신(沈信, 1967년 7월 29일 ~ )은 대한민국의 가수이다.","{'word': '심신', 'start_idx': 0, 'end_idx': 1, 'type': 'PER'}","{'word': '沈信', 'start_idx': 3, 'end_idx': 4, 'type': 'PER'}",per:alternate_name
15,469,person1.csv_264,['user:ymnseol'],"2015년 아이유는 KBS2 박지은 작가 극본의 드라마 《프로듀사》에 신디 역할로 출연하였다. 예능국 안에서 펼쳐지는 이야기를 담은 작품으로 방영 전부터 큰 화제를 모았으며, 《최고다 이순신》 이후 시청률 부분에서도 아이유 본인에게 가장 성공한 드라마였다. 신디 역할 자체가 톱스타 역할이기에 그간 보지 못한 새침하면서도 도도한 연기를 볼 수 있었으며, 평소 아이유 노래에서는 찾기 힘든 섹시함이 담긴 곡 Twenty-three 무대가 등장하기도 하였다. 해당 곡은 이후 발표된 미니앨범 ""CHAT-SHIRE"" 음반에 보너스트랙으로 수록되기도 하였으며 이후 있었던 팬미팅에서 무대를 재연하기도 하였다. 또한, 짝사랑의 마음을 담아 윤하의 기다리다를 노래방에서 부르는 장면이 나와 화제를 모으기도 했다. 해당 곡은 공식 발표가 되지는 않았다. 《프로듀사》에서 아이유는 눈물 연기를 포함하여 여러 감정선의 연기를 잘 선보였으며 연기력 부분에서 많은 호평을 받았었다. 극의 흐름상 후반부에서 비중 역시 커져서 후반부에서는 극을 이끌어가는 키역할이나 다름없었다.","{'word': '박지은', 'start_idx': 16, 'end_idx': 18, 'type': 'PER'}","{'word': '작가', 'start_idx': 20, 'end_idx': 21, 'type': 'POH'}",per:title
16,468,person1.csv_264,['user:ymnseol'],"2015년 아이유는 KBS2 박지은 작가 극본의 드라마 《프로듀사》에 신디 역할로 출연하였다. 예능국 안에서 펼쳐지는 이야기를 담은 작품으로 방영 전부터 큰 화제를 모았으며, 《최고다 이순신》 이후 시청률 부분에서도 아이유 본인에게 가장 성공한 드라마였다. 신디 역할 자체가 톱스타 역할이기에 그간 보지 못한 새침하면서도 도도한 연기를 볼 수 있었으며, 평소 아이유 노래에서는 찾기 힘든 섹시함이 담긴 곡 Twenty-three 무대가 등장하기도 하였다. 해당 곡은 이후 발표된 미니앨범 ""CHAT-SHIRE"" 음반에 보너스트랙으로 수록되기도 하였으며 이후 있었던 팬미팅에서 무대를 재연하기도 하였다. 또한, 짝사랑의 마음을 담아 윤하의 기다리다를 노래방에서 부르는 장면이 나와 화제를 모으기도 했다. 해당 곡은 공식 발표가 되지는 않았다. 《프로듀사》에서 아이유는 눈물 연기를 포함하여 여러 감정선의 연기를 잘 선보였으며 연기력 부분에서 많은 호평을 받았었다. 극의 흐름상 후반부에서 비중 역시 커져서 후반부에서는 극을 이끌어가는 키역할이나 다름없었다.","{'word': '아이유', 'start_idx': 424, 'end_idx': 426, 'type': 'PER'}","{'word': '프로듀사', 'start_idx': 416, 'end_idx': 419, 'type': 'PRO'}",per:participate_in
17,467,person1.csv_264,['user:ymnseol'],"2015년 아이유는 KBS2 박지은 작가 극본의 드라마 《프로듀사》에 신디 역할로 출연하였다. 예능국 안에서 펼쳐지는 이야기를 담은 작품으로 방영 전부터 큰 화제를 모았으며, 《최고다 이순신》 이후 시청률 부분에서도 아이유 본인에게 가장 성공한 드라마였다. 신디 역할 자체가 톱스타 역할이기에 그간 보지 못한 새침하면서도 도도한 연기를 볼 수 있었으며, 평소 아이유 노래에서는 찾기 힘든 섹시함이 담긴 곡 Twenty-three 무대가 등장하기도 하였다. 해당 곡은 이후 발표된 미니앨범 ""CHAT-SHIRE"" 음반에 보너스트랙으로 수록되기도 하였으며 이후 있었던 팬미팅에서 무대를 재연하기도 하였다. 또한, 짝사랑의 마음을 담아 윤하의 기다리다를 노래방에서 부르는 장면이 나와 화제를 모으기도 했다. 해당 곡은 공식 발표가 되지는 않았다. 《프로듀사》에서 아이유는 눈물 연기를 포함하여 여러 감정선의 연기를 잘 선보였으며 연기력 부분에서 많은 호평을 받았었다. 극의 흐름상 후반부에서 비중 역시 커져서 후반부에서는 극을 이끌어가는 키역할이나 다름없었다.","{'word': '아이유', 'start_idx': 121, 'end_idx': 123, 'type': 'PER'}","{'word': '최고다 이순신', 'start_idx': 99, 'end_idx': 105, 'type': 'PRO'}",per:participate_in
18,466,person1.csv_264,['user:ymnseol'],"2015년 아이유는 KBS2 박지은 작가 극본의 드라마 《프로듀사》에 신디 역할로 출연하였다. 예능국 안에서 펼쳐지는 이야기를 담은 작품으로 방영 전부터 큰 화제를 모았으며, 《최고다 이순신》 이후 시청률 부분에서도 아이유 본인에게 가장 성공한 드라마였다. 신디 역할 자체가 톱스타 역할이기에 그간 보지 못한 새침하면서도 도도한 연기를 볼 수 있었으며, 평소 아이유 노래에서는 찾기 힘든 섹시함이 담긴 곡 Twenty-three 무대가 등장하기도 하였다. 해당 곡은 이후 발표된 미니앨범 ""CHAT-SHIRE"" 음반에 보너스트랙으로 수록되기도 하였으며 이후 있었던 팬미팅에서 무대를 재연하기도 하였다. 또한, 짝사랑의 마음을 담아 윤하의 기다리다를 노래방에서 부르는 장면이 나와 화제를 모으기도 했다. 해당 곡은 공식 발표가 되지는 않았다. 《프로듀사》에서 아이유는 눈물 연기를 포함하여 여러 감정선의 연기를 잘 선보였으며 연기력 부분에서 많은 호평을 받았었다. 극의 흐름상 후반부에서 비중 역시 커져서 후반부에서는 극을 이끌어가는 키역할이나 다름없었다.","{'word': '아이유', 'start_idx': 6, 'end_idx': 8, 'type': 'PER'}","{'word': '프로듀사', 'start_idx': 32, 'end_idx': 35, 'type': 'PRO'}",per:participate_in
